"COMMISSION VERIFICATION REPORT"
"Generated:","2025-09-15T03:39:06.941Z"

"SUMMARY"
"Total Transactions:","280"
"Total States:","7"
"Calculated Commission:","$1979.13"
"Reported Commission:","$300.84"
"Difference:","$1678.29"
"State Bonuses:","$300.00"

"STATE ANALYSIS"
"State","Total Sales","Tier","Commission","Reported","Bonus","Transactions"
"OR","$21898.20","tier2","$317.50","$15.66","$100.00","72"
"CA","$31670.41","tier2","$407.12","$41.09","$100.00","91"
"WA","$34670.05","tier2","$680.47","$236.11","$100.00","77"
"SD","$5413.49","tier1","$121.92","$7.98","$0.00","24"
"AZ","$7031.00","tier1","$140.62","$0.00","$0.00","4"
"MT","$117.96","tier1","$3.54","$0.00","$0.00","3"
"UT","$265.54","tier1","$7.97","$0.00","$0.00","9"

"DISCREPANCIES"
"Invoice","State","Calculated","Reported","Difference"
"0348007","OR","$0.12","$0.00","$0.12"
"0348007","OR","$0.25","$0.00","$0.25"
"0348007","OR","$0.06","$0.00","$0.06"
"0348007","OR","$0.12","$0.00","$0.12"
"0348007","OR","$0.20","$0.00","$0.20"
"0348007","OR","$0.10","$0.00","$0.10"
"0348007","OR","$0.06","$0.00","$0.06"
"0348007","OR","$0.15","$0.00","$0.15"
"0348344","OR","$0.98","$0.00","$0.98"
"0348344","OR","$0.80","$0.00","$0.80"
"0348538","OR","$2.58","$0.00","$2.58"
"0348538","OR","$41.45","$0.00","$41.45"
"0348538","OR","$0.99","$0.00","$0.99"
"0348538","OR","$4.19","$0.00","$4.19"
"0348538","OR","$1.78","$0.00","$1.78"
"0349164","OR","$0.52","$0.00","$0.52"
"0349303","OR","$3.56","$7.13","$-3.57"
"0349303","OR","$3.24","$6.48","$-3.24"
"0349303","OR","$7.59","$0.00","$7.59"
"0349303","OR","$0.84","$0.00","$0.84"
"0349303","OR","$2.05","$0.00","$2.05"
"0349303","OR","$1.22","$0.00","$1.22"
"0349303","OR","$10.00","$0.00","$10.00"
"0349303","OR","$1.99","$0.00","$1.99"
"0349624","OR","$6.50","$0.00","$6.50"
"0349650","OR","$1.17","$0.00","$1.17"
"0349650","OR","$0.56","$0.00","$0.56"
"0349650","OR","$0.18","$0.00","$0.18"
"0349650","OR","$0.54","$0.00","$0.54"
"0349650","OR","$0.72","$0.00","$0.72"
"0349650","OR","$0.66","$1.32","$-0.66"
"0349650","OR","$0.36","$0.73","$-0.37"
"0349650","OR","$1.62","$0.00","$1.62"
"0349650","OR","$1.26","$0.00","$1.26"
"0349650","OR","$0.44","$0.00","$0.44"
"0349650","OR","$4.23","$0.00","$4.23"
"0349650","OR","$0.95","$0.00","$0.95"
"0349650","OR","$0.70","$0.00","$0.70"
"0349650","OR","$0.29","$0.00","$0.29"
"0349650","OR","$0.12","$0.00","$0.12"
"0349650","OR","$1.24","$0.00","$1.24"
"0349650","OR","$1.50","$0.00","$1.50"
"0349650","OR","$0.40","$0.00","$0.40"
"0349651","OR","$3.11","$0.00","$3.11"
"0349651","OR","$2.89","$0.00","$2.89"
"0349651","OR","$0.31","$0.00","$0.31"
"0349651","OR","$0.13","$0.00","$0.13"
"0349744","OR","$12.68","$0.00","$12.68"
"0349744","OR","$7.84","$0.00","$7.84"
"0349744","OR","$5.00","$0.00","$5.00"
"0349900","OR","$2.85","$0.00","$2.85"
"0349900","OR","$5.22","$0.00","$5.22"
"0349900","OR","$2.40","$0.00","$2.40"
"0349900","OR","$10.76","$0.00","$10.76"
"0349932","OR","$0.40","$0.00","$0.40"
"0349932","OR","$0.32","$0.00","$0.32"
"0348007","OR","$0.91","$0.00","$0.91"
"0348007","OR","$0.48","$0.00","$0.48"
"0348538","OR","$0.30","$0.00","$0.30"
"0349303","OR","$14.80","$0.00","$14.80"
"0349303","OR","$10.80","$0.00","$10.80"
"0349487","OR","$58.80","$0.00","$58.80"
"0349624","OR","$2.20","$0.00","$2.20"
